"title","directedBy","starring","avgRating","imdbId","item_id","genre","star","writer","company","country","year","group"
"Men in Black III","Barry Sonnenfeld","Will Smith, Tommy Lee Jones, Josh Brolin, Jemaine Clement, Emma Thompson, Michael Stuhlbarg, Mike Colter, Nicole Scherzinger, Michael Chernus, Alice Eve, David Rasche, Bill Hader, Will Arnett, Justin Bieber, Tim Burton, Lady Gaga, Rip Torn",3.35858,1409024,94777,NA,NA,NA,NA,NA,NA,3
"Unbreakable","M. Night Shyamalan","Bruce Willis, Samuel L. Jackson, Spencer Treat Clark, Robin Wright Penn",3.50054,217869,3994,"Drama","Bruce Willis","M. Night Shyamalan","Touchstone Pictures","United States",2000,2
"Father of the Bride","Charles Shyer","Steve Martin, Diane Keaton, Kimberly Williams, Kieran Culkin, George Newbern, Martin Short",3.35574,101862,6944,"Comedy","Steve Martin","Frances Goodrich","Touchstone Pictures","United States",1991,3
"Dogville","Lars von Trier","Nicole Kidman, Paul Bettany, Philip Baker Hall, Ben Gazzara, Patricia Clarkson, Harriet Andersson, Lauren Bacall, James Caan, John Hurt",3.85622,276919,7371,"Crime","Nicole Kidman","Lars von Trier","Zentropa Entertainments","Denmark",2003,1
"Lost in Space","Stephen Hopkins","William Hurt, Lacey Chabert, Heather Graham, Mimi Rogers, Gary Oldman, Jack Johnson, Matt LeBlanc, Jared Harris",2.59831,120738,1831,"Action","Gary Oldman","Irwin Allen","New Line Cinema","United States",1998,4
"City Slickers II: The Legend of Curly's Gold","Paul Weiland","Billy Crystal, Jon Lovitz, Jack Palance, Daniel Stern",2.71899,109439,432,NA,NA,NA,NA,NA,NA,13
"Ghost World","Terry Zwigoff","Thora Birch, Scarlett Johansson, Steve Buscemi, Brad Renfro, Illeana Douglas, Bob Balaban, Stacey Travis, Dave Sheridan, Tom McGowan, Debra Azar, Brian George, Pat Healy, T.J. Thyne, Ezra Buzzington, Lindsey Girardot, David Cross, Patrick Fischler, Matt Doherty, Teri Garr, ",3.74907,162346,4641,"Comedy","Steve Buscemi","Daniel Clowes","United Artists","United States",2001,3
"Santa Clause, The","John Pasquin","Tim Allen, Eric Lloyd, Judge Reinhold, Wendy Crewson, David Krumholtz, Larry Brandenburg, Peter Boyle",3.12513,111070,317,NA,NA,NA,NA,NA,NA,14
"Harold and Kumar Go to White Castle","Danny Leiner","John Cho, Kal Penn, Malin Akerman, Anthony Anderson, Neil Patrick Harris, Ethan Embry, Fred Willard, Paula Garcés, David Krumholtz, Eddie Kaye Thomas",3.43957,366551,8807,NA,NA,NA,NA,NA,NA,15
"Hours, The","Stephen Daldry","Stephen Dillane, Nicole Kidman, Julianne Moore, Meryl Streep",3.67941,274558,5992,NA,NA,NA,NA,NA,NA,16
"Red Rock West","John Dahl","Robert Apel, Nicolas Cage, Vance Johnson, Craig Reay, Lara Flynn Boyle, Dennis Hopper",3.77217,105226,373,"Crime","Nicolas Cage","John Dahl","Propaganda Films","United States",1993,1
"Donnie Darko","Richard Kelly","Jake Gyllenhaal, Holmes Osborne, Daveigh Chase, Maggie Gyllenhaal, Mary McDonnell, Patrick Swayze",3.95067,246578,4878,"Drama","Jake Gyllenhaal","Richard Kelly","Pandora Cinema","United States",2001,2
"Life Aquatic with Steve Zissou, The","Wes Anderson","Bill Murray, Owen Wilson, Cate Blanchett, Willem Dafoe, Anjelica Huston",3.72067,362270,30810,NA,NA,NA,NA,NA,NA,1
"Mexican, The","Gore Verbinski","Brad Pitt, Julia Roberts, James Gandolfini, J.K. Simmons, Bob Balaban, Michael Cerveris, Richard Coca, David Krumholtz, Castulo Guerra",3.01983,236493,4161,NA,NA,NA,NA,NA,NA,11
"Paul","Greg Mottola","Simon Pegg, Nick Frost, Jeffrey Tambor, Nelson Ascencio, Jane Lynch, David Koechner, Seth Rogen, Jason Bateman, Sigourney Weaver, Bill Hader, Joe Lo Truglio, Kristen Wiig, John Carroll Lynch, Steven Spielberg, Blythe Danner",3.34154,1092026,84772,"Adventure","Simon Pegg","Simon Pegg","Universal Pictures","United States",2011,1
"About Time","Richard Curtis","Domhnall Gleeson, Rachel McAdams, Bill Nighy, Lindsay Duncan, Lydia Wilson, Tom Hollander, Joshua McGuire, Margot Robbie",3.98349,2194499,104374,"Comedy","Domhnall Gleeson","Richard Curtis","Translux","United Kingdom",2013,3
"Rudy","David Anspaugh","Sean Astin, Ned Beatty, Jon Favreau, Greta Lind",3.51235,108002,524,"Biography","Sean Astin","Angelo Pizzo","TriStar Pictures","United States",1993,1
